age_upon_outcome,animal_id_outcome,date_of_birth,outcome_subtype,outcome_type,sex_upon_outcome,age_upon_outcome_(days),age_upon_outcome_(years),age_upon_outcome_age_group,outcome_datetime,outcome_month,outcome_year,outcome_monthyear,outcome_weekday,outcome_hour,outcome_number,dob_year,dob_month,dob_monthyear,age_upon_intake,animal_id_intake,animal_type,breed,color,found_location,intake_condition,intake_type,sex_upon_intake,count,age_upon_intake_(days),age_upon_intake_(years),age_upon_intake_age_group,intake_datetime,intake_month,intake_year,intake_monthyear,intake_weekday,intake_hour,intake_number,time_in_shelter,time_in_shelter_days
10 years,A006100,2007-07-09 0:00,,Return to Owner,Neutered Male,3650,10,"(7.5, 10.0]",2017-12-07 14:07,12,2017,Dec-17,Thursday,0,1,2007,7,Dec-17,10 years,A006100,Dog,Spinone Italiano Mix,Yellow/White,Colony Creek And Hunters Trace in Austin (TX),Normal,Stray,Neutered Male,1,3650,10,"(7.5, 10.0]",2017-12-07 0:00,12,2017,Dec-17,Thursday,14,1,0 days 14:07:00.000000000,0.588194444
7 years,A006100,2007-07-09 0:00,,Return to Owner,Neutered Male,2555,7,"(5.0, 7.5]",2014-12-20 16:35,12,2014,Dec-14,Saturday,16,2,2007,7,Dec-14,7 years,A006100,Dog,Spinone Italiano Mix,Yellow/White,8700 Research Blvd in Austin (TX),Normal,Public Assist,Neutered Male,1,2555,7,"(5.0, 7.5]",2014-12-19 10:21,12,2014,Dec-14,Friday,10,2,1 days 06:14:00.000000000,1.259722222
6 years,A006100,2007-07-09 0:00,,Return to Owner,Neutered Male,2190,6,"(5.0, 7.5]",2014-03-08 17:10,3,2014,Mar-14,Saturday,17,3,2007,7,Mar-14,6 years,A006100,Dog,Spinone Italiano Mix,Yellow/White,8700 Research in Austin (TX),Normal,Public Assist,Neutered Male,1,2190,6,"(5.0, 7.5]",2014-03-07 14:26,3,2014,Mar-14,Friday,14,3,1 days 02:44:00.000000000,1.113888889
10 years,A047759,2004-04-02 0:00,Partner,Transfer,Neutered Male,3650,10,"(7.5, 10.0]",2014-04-07 15:12,4,2014,Apr-14,Monday,15,1,2004,4,Apr-14,10 years,A047759,Dog,Dachshund,Tricolor,Austin (TX),Normal,Owner Surrender,Neutered Male,1,3650,10,"(7.5, 10.0]",2014-04-02 15:55,4,2014,Apr-14,Wednesday,15,1,4 days 23:17:00.000000000,4.970138889
16 years,A134067,1997-10-16 0:00,,Return to Owner,Neutered Male,5840,16,"(15.0, 17.5]",2013-11-16 11:54,11,2013,Nov-13,Saturday,11,1,1997,10,Nov-13,16 years,A134067,Dog,Shetland Sheepdog,Brown/White,12034 Research Blvd in Austin (TX),Injured,Public Assist,Neutered Male,1,5840,16,"(15.0, 17.5]",2013-11-16 9:02,11,2013,Nov-13,Saturday,9,1,0 days 02:52:00.000000000,0.119444444
15 years,A141142,1998-06-01 0:00,,Return to Owner,Spayed Female,5475,15,"(12.5, 15.0]",2013-11-17 11:40,11,2013,Nov-13,Sunday,11,1,1998,6,Nov-13,15 years,A141142,Dog,Labrador Retriever/Pit Bull,Black/White,Austin (TX),Aged,Stray,Spayed Female,1,5475,15,"(12.5, 15.0]",2013-11-16 14:46,11,2013,Nov-13,Saturday,14,1,0 days 20:54:00.000000000,0.870833333
15 years,A163459,1999-10-19 0:00,,Return to Owner,Intact Female,5475,15,"(12.5, 15.0]",2014-11-14 19:28,11,2014,Nov-14,Friday,19,1,1999,10,Nov-14,15 years,A163459,Dog,Miniature Schnauzer Mix,Black/Gray,Ih 35 And 41St St in Austin (TX),Normal,Stray,Intact Female,1,5475,15,"(12.5, 15.0]",2014-11-14 15:11,11,2014,Nov-14,Friday,15,1,0 days 04:17:00.000000000,0.178472222
15 years,A165752,1999-08-18 0:00,,Return to Owner,Neutered Male,5475,15,"(12.5, 15.0]",2014-09-15 16:35,9,2014,Sep-14,Monday,16,1,1999,8,Sep-14,15 years,A165752,Dog,Lhasa Apso Mix,Brown/White,Gatlin Gun Rd And Brodie in Austin (TX),Normal,Stray,Neutered Male,1,5475,15,"(12.5, 15.0]",2014-09-15 11:28,9,2014,Sep-14,Monday,11,1,0 days 05:07:00.000000000,0.213194444
15 years,A178569,1999-03-17 0:00,,Return to Owner,Neutered Male,5475,15,"(12.5, 15.0]",2014-03-23 15:57,3,2014,Mar-14,Sunday,15,1,1999,3,Mar-14,15 years,A178569,Dog,Shetland Sheepdog Mix,White/Black,Austin (TX),Normal,Public Assist,Neutered Male,1,5475,15,"(12.5, 15.0]",2014-03-17 9:45,3,2014,Mar-14,Monday,9,1,6 days 06:12:00.000000000,6.258333333
18 years,A189592,1997-08-01 0:00,,Return to Owner,Spayed Female,6570,18,"(17.5, 20.0]",2015-09-18 19:04,9,2015,Sep-15,Friday,19,1,1997,8,Sep-15,18 years,A189592,Dog,Shetland Sheepdog Mix,Brown/White,Chesney And Slaughter in Austin (TX),Normal,Stray,Spayed Female,1,6570,18,"(17.5, 20.0]",2015-09-18 17:46,9,2015,Sep-15,Friday,17,1,0 days 01:18:00.000000000,0.054166667
16 years,A191351,1999-08-21 0:00,,Return to Owner,Intact Female,5840,16,"(15.0, 17.5]",2015-11-17 13:29,11,2015,Nov-15,Tuesday,13,1,1999,8,Nov-15,16 years,A191351,Cat,Domestic Longhair Mix,Black/White,1912 E William Cannon Rd in Austin (TX),Normal,Stray,Intact Female,1,5840,16,"(15.0, 17.5]",2015-11-13 15:57,11,2015,Nov-15,Friday,15,1,3 days 21:32:00.000000000,3.897222222
14 years,A197810,2000-01-21 0:00,Partner,Transfer,Spayed Female,5110,14,"(12.5, 15.0]",2014-12-22 15:23,12,2014,Dec-14,Monday,15,1,2000,1,Dec-14,14 years,A197810,Cat,American Shorthair Mix,Brown Tabby/White,4616 E Cesar Chavez in Austin (TX),Normal,Stray,Spayed Female,1,5110,14,"(12.5, 15.0]",2014-12-08 12:30,12,2014,Dec-14,Monday,12,1,14 days 02:53:00.000000000,14.12013889
16 years,A200922,1997-10-03 0:00,Foster,Adoption,Neutered Male,5840,16,"(15.0, 17.5]",2013-11-22 9:44,11,2013,Nov-13,Friday,9,1,1997,10,Nov-13,16 years,A200922,Dog,Dachshund Mix,Black/Tan,Austin (TX),Normal,Owner Surrender,Neutered Male,1,5840,16,"(15.0, 17.5]",2013-10-03 15:47,10,2013,Oct-13,Thursday,15,1,49 days 17:57:00.000000000,49.74791667
14 years,A208755,2000-04-27 0:00,Suffering,Euthanasia,Neutered Male,5110,14,"(12.5, 15.0]",2015-02-17 16:25,2,2015,Feb-15,Tuesday,16,1,2000,4,Feb-15,14 years,A208755,Dog,Border Collie Mix,Black/White,Austin (TX),Sick,Owner Surrender,Neutered Male,1,5110,14,"(12.5, 15.0]",2015-02-17 13:17,2,2015,Feb-15,Tuesday,13,1,0 days 03:08:00.000000000,0.130555556
17 years,A210457,1999-06-01 0:00,Foster,Adoption,Neutered Male,6205,17,"(15.0, 17.5]",2016-10-07 12:34,10,2016,Oct-16,Friday,12,1,1999,6,Oct-16,17 years,A210457,Dog,Chihuahua Shorthair,Tan/Black,4424 S Mopac #412 in Austin (TX),Aged,Public Assist,Neutered Male,1,6205,17,"(15.0, 17.5]",2016-09-28 12:05,9,2016,Sep-16,Wednesday,12,1,9 days 00:29:00.000000000,9.020138889
13 years,A212672,2000-03-05 0:00,,Return to Owner,Intact Female,4745,13,"(12.5, 15.0]",2013-12-06 14:34,12,2013,Dec-13,Friday,14,1,2000,3,Dec-13,13 years,A212672,Dog,German Shepherd/Labrador Retriever,Tan/Black,14611  Wells Port Dr in Austin (TX),Normal,Stray,Intact Female,1,4745,13,"(12.5, 15.0]",2013-11-25 17:18,11,2013,Nov-13,Monday,17,1,10 days 21:16:00.000000000,10.88611111
19 years,A214991,1994-03-01 0:00,Suffering,Euthanasia,Spayed Female,6935,19,"(17.5, 20.0]",2013-12-14 13:28,12,2013,Dec-13,Saturday,13,1,1994,3,Dec-13,19 years,A214991,Cat,Domestic Shorthair,Black,Austin (TX),Aged,Euthanasia Request,Spayed Female,1,6935,19,"(17.5, 20.0]",2013-12-14 11:51,12,2013,Dec-13,Saturday,11,1,0 days 01:37:00.000000000,0.067361111
13 years,A215368,2001-01-17 0:00,,Return to Owner,Neutered Male,4745,13,"(12.5, 15.0]",2014-08-04 16:31,8,2014,Aug-14,Monday,16,1,2001,1,Aug-14,13 years,A215368,Dog,Newfoundland Mix,Black,Clay/Ulrich in Austin (TX),Normal,Stray,Neutered Male,1,4745,13,"(12.5, 15.0]",2014-08-04 13:51,8,2014,Aug-14,Monday,13,1,0 days 02:40:00.000000000,0.111111111
15 years,A218622,1998-10-19 0:00,Suffering,Euthanasia,Neutered Male,5475,15,"(12.5, 15.0]",2013-12-02 17:09,12,2013,Dec-13,Monday,17,1,1998,10,Dec-13,15 years,A218622,Dog,Pug,Gold/Gold,Austin (TX),Sick,Owner Surrender,Neutered Male,1,5475,15,"(12.5, 15.0]",2013-12-02 15:33,12,2013,Dec-13,Monday,15,1,0 days 01:36:00.000000000,0.066666667
15 years,A218624,1998-10-19 0:00,Suffering,Euthanasia,Neutered Male,5475,15,"(12.5, 15.0]",2013-12-02 17:11,12,2013,Dec-13,Monday,17,1,1998,10,Dec-13,15 years,A218624,Dog,Pug,Gold/Gold,Austin (TX),Sick,Owner Surrender,Neutered Male,1,5475,15,"(12.5, 15.0]",2013-12-02 15:33,12,2013,Dec-13,Monday,15,1,0 days 01:38:00.000000000,0.068055556
16 years,A221327,1999-05-02 0:00,Suffering,Euthanasia,Spayed Female,5840,16,"(15.0, 17.5]",2015-04-29 13:42,4,2015,Apr-15,Wednesday,13,1,1999,5,Apr-15,16 years,A221327,Dog,Staffordshire Mix,Brown/White,7400 Arrowmound in Austin (TX),Injured,Stray,Spayed Female,1,5840,16,"(15.0, 17.5]",2015-04-28 15:08,4,2015,Apr-15,Tuesday,15,1,0 days 22:34:00.000000000,0.940277778
12 years,A221448,2000-11-29 0:00,,Return to Owner,Neutered Male,4380,12,"(10.0, 12.5]",2013-10-28 12:37,10,2013,Oct-13,Monday,12,1,2000,11,Oct-13,12 years,A221448,Dog,Labrador Retriever Mix,Brown/White,Silver Spring Dr And Mesa Dr in Austin (TX),Normal,Stray,Neutered Male,1,4380,12,"(10.0, 12.5]",2013-10-27 11:17,10,2013,Oct-13,Sunday,11,1,1 days 01:20:00.000000000,1.055555556
15 years,A226069,2000-06-17 0:00,Foster,Adoption,Neutered Male,5475,15,"(12.5, 15.0]",2015-10-29 15:00,10,2015,Oct-15,Thursday,15,1,2000,6,Oct-15,15 years,A226069,Dog,Labrador Retriever/Beagle,Sable/White,Wheless Ln And Berkman Dr in Austin (TX),Normal,Stray,Neutered Male,1,5475,15,"(12.5, 15.0]",2015-10-06 12:29,10,2015,Oct-15,Tuesday,12,1,23 days 02:31:00.000000000,23.10486111
